"Table with row headers in column A and column headers in rows 6, 7, and 8"
"Table HINC-06. Income Distribution to $250,000 or More for Households: 2015"
"For information on confidentiality protection, sampling error, nonsampling error, and definitions, see www2.census.gov/programs-surveys/cps/techdocs/cpsmar16.pdf"
"Source: U.S. Census Bureau, Current Population Survey, 2016 Annual Social and Economic Supplement."
(Numbers in thousands. Households as of March of the following year. A.O.I.C. stands for alone or in combination.  Standard errors calculated using replicate weights)
,All Races,White A.O.I.C.,White alone (1),"White alone, not Hispanic",Black A.O.I.C.,Black alone (2),Asian A.O.I.C.,Asian alone (3),Hispanic (any race)
,,Mean Income,,Mean Income,,Mean Income,,Mean Income,,Mean Income,,Mean Income,,Mean Income,,Mean Income,,Mean Income
Income of Household,Number,Dollars,Standard Error,Number,Dollars,Standard Error,Number,Dollars,Standard Error,Number,Dollars,Standard Error,Number,Dollars,Standard Error,Number,Dollars,Standard Error,Number,Dollars,Standard Error,Number,Dollars,Standard Error,Number,Dollars,Standard Error
"$100,000 to $104,999",2792,101908,42,2375,101935,47,2341,101943,47,2112,101950,51,251,101950,139,239,101964,142,162,101402,181,158,101416,183,253,101844,120
"$105,000 to $109,999",2232,107092,51,1860,107082,55,1841,107097,56,1641,107116,61,213,107279,170,200,107356,174,149,106911,177,145,106941,178,221,106918,136
"$110,000 to $114,999",2158,112073,54,1839,112109,60,1826,112113,60,1658,112126,63,168,111709,142,168,111709,142,135,112026,180,132,112010,183,187,111983,177
"$115,000 to $119,999",1748,117027,56,1490,117029,60,1478,117028,60,1313,117002,66,144,117079,169,142,117046,171,108,116949,223,104,116908,223,173,117235,180
"$120,000 to $124,999",1987,121965,54,1685,121999,59,1661,121992,60,1490,121993,64,156,122015,166,145,121973,167,139,121643,200,133,121635,197,204,122019,125
"$125,000 to $129,999",1675,126961,57,1462,126974,61,1440,126985,61,1315,126978,62,149,126812,182,136,126903,197,73,(B),(B),65,(B),(B),137,127089,175
"$130,000 to $134,999",1474,131990,68,1260,131955,76,1247,131954,76,1140,131949,81,130,132102,174,122,132078,184,72,(B),(B),66,(B),(B),127,131975,184
"$135,000 to $139,999",1380,137101,66,1168,137161,72,1149,137168,72,1045,137190,75,120,137076,206,113,137100,216,91,136268,166,87,136199,167,110,136953,202
"$140,000 to $144,999",1220,141979,70,1032,141976,77,1012,141985,78,920,141969,83,87,141555,226,81,141643,230,103,142266,215,100,142249,223,116,142246,205
"$145,000 to $149,999",1111,147145,73,910,147143,82,902,147140,82,822,147120,89,110,147303,226,104,147243,233,76,147060,211,72,(B),(B),92,147208,233
"$150,000 to $154,999",1313,151768,61,1072,151759,70,1051,151772,70,958,151785,74,115,151726,207,110,151704,215,121,151598,190,111,151728,194,115,151850,211
"$155,000 to $159,999",1017,157137,76,854,157101,83,850,157097,83,781,157110,88,62,(B),(B),62,(B),(B),91,157423,233,91,157413,233,82,156804,227
"$160,000 to $164,999",993,162080,88,825,162123,98,820,162123,98,736,162175,103,63,(B),(B),60,(B),(B),94,161819,246,93,161843,249,90,161697,278
"$165,000 to $169,999",761,167171,80,652,167144,89,645,167142,89,594,167156,93,46,(B),(B),43,(B),(B),59,(B),(B),54,(B),(B),61,(B),(B)
"$170,000 to $174,999",822,172199,88,728,172228,101,706,172213,100,650,172225,106,32,(B),(B),28,(B),(B),75,172020,300,63,(B),(B),65,(B),(B)
"$175,000 to $179,999",700,177157,99,608,177146,107,607,177145,108,561,177118,115,43,(B),(B),42,(B),(B),46,(B),(B),46,(B),(B),47,(B),(B)
"$180,000 to $184,999",677,182009,78,570,182056,91,564,182053,91,519,182044,99,45,(B),(B),43,(B),(B),56,(B),(B),56,(B),(B),46,(B),(B)
"$185,000 to $189,999",536,187224,94,446,187219,97,443,187222,98,410,187235,98,27,(B),(B),24,(B),(B),56,(B),(B),56,(B),(B),41,(B),(B)
"$190,000 to $194,999",561,191951,97,455,191926,100,454,191926,100,409,191892,108,45,(B),(B),44,(B),(B),61,(B),(B),59,(B),(B),48,(B),(B)
"$195,000 to $199,999",431,197339,104,381,197364,116,379,197378,116,355,197358,121,7,(B),(B),7,(B),(B),36,(B),(B),36,(B),(B),25,(B),(B)
"$200,000 to $249,999",3456,220874,410,2906,220991,465,2875,221005,466,2674,221187,498,200,220628,1465,182,220588,1451,335,219766,1238,331,219804,1251,231,219374,1372
"$250,000 and over",4184,411551,5980,3512,410189,6769,3464,409233,6829,3190,405513,6906,221,463129,28033,204,464525,29722,460,403794,17414,437,401048,17727,305,470622,24062
