

"TABLE H-1. Selected Characteristics of households, by Total Money Income in 1997 (Numbers in thousands)"
,Total,"Under $2,500","$2,500 to $4,999","$5,000 to $7,499","$7,500 to $9,999","$10,0- 00 to $12,4- 99","$12,5- 00 to $14,9- 99","$15,0- 00 to $17,4- 99","$17,5- 00 to $19,9- 99","$20,0- 00 to $22,4- 99","$22,5- 00 to $24,9- 99","$25,0- 00 to $27,4- 99","$27,5- 00 to $29,9- 99","$30,0- 00 to $32,4- 99","$32,5- 00 to $34,9- 99"
Living alone,42,83,60,71,44,22,24,25,11,17,24,380,23871,425,32838
Female householder,69,80,61,59,61,46,22,44,41,46,44,424,17613,256,26642
Living alone,45,34,26,19,21,22,14,22,25,23,32,241,15530,245,23000
Age of Householder
Under 65 years,1067,1238,964,1136,895,860,689,759,664,647,575,8748,42365,201,54402
15 to 24 years,14,21,28,31,17,11,4,4,0,8,5,125,22583,492,29026
25 to 34 years,194,285,151,248,191,139,114,124,93,115,71,1054,38174,452,45099
35 to 44 years,407,425,351,406,259,278,240,254,212,217,204,2629,46359,381,57036
45 to 54 years,318,339,292,297,286,288,211,246,246,215,204,3193,51875,435,65286
55 to 64 years,134,168,141,153,143,145,120,131,112,92,91,1747,41356,457,57396
65 years and over,103,107,90,99,121,94,58,46,40,48,54,913,20761,243,31940
65 to 74 years,73,81,68,59,89,68,41,30,15,29,36,650,25292,391,37239
75 years and over,30,27,22,40,32,26,17,16,25,20,19,263,17079,245,26099

"TABLE H-1. Selected Characteristics of households, by Total Money Income in 1997 (Numbers in thousands)"
,Mean income Std. error (Dol.)
All households,278
Type of Residence
Inside metro. areas,324
Inside central cities,453
One million or more,594
Under one million,688
Outside central cities,440
One million or more,566
Under one million,652
Outside metro. areas,604
Region
Northeast,662
Midwest,560
South,468
West,602
Race and Hispanic Origin
of Householder
White,316
Black,473
Hispanic,724
Type of Household
Family households,358
Married-couple families,438
"Male householder, nsp",1186
"Female householder, nsp",419
Nonfamily households,369
Male householder,672
Living alone,639
Female householder,379
Living alone,341
Age of Householder
Under 65 years,326
15 to 24 years,726
25 to 34 years,435
35 to 44 years,579
45 to 54 years,760
55 to 64 years,1034
65 years and over,460
65 to 74 years,677
75 years and over,603

"TABLE H-1. Selected Characteristics of households, by Total Money Income in 1997 (Numbers in thousands)"
,Total,"Under $2,500","$2,500 to $4,999","$5,000 to $7,499","$7,500 to $9,999","$10,0- 00 to $12,4- 99","$12,5- 00 to $14,9- 99","$15,0- 00 to $17,4- 99","$17,5- 00 to $19,9- 99","$20,0- 00 to $22,4- 99","$22,5- 00 to $24,9- 99","$25,0- 00 to $27,4- 99","$27,5- 00 to $29,9- 99","$30,0- 00 to $32,4- 99","$32,5- 00 to $34,9- 99"
Mean age of householder,48.6,45.8,46.7,54.9,58.1,55.4,55.7,52.9,52.8,50.0,50.1,48.0,48.9,45.8,48.0
Size of Household
One person,26327,979,749,2598,2367,2403,1768,1566,1455,1400,1033,1150,734,1128,677
Two persons,32965,463,306,580,678,1026,1151,1363,1318,1386,1187,1398,1255,1297,1150
Three persons,17331,228,244,358,346,444,448,519,461,560,544,585,409,514,456
Four persons,15358,168,151,224,195,300,286,320,326,358,345,403,393,470,357
Five persons,7048,83,80,136,137,154,136,149,153,191,200,202,155,229,170
Six persons,2232,24,23,43,48,53,60,62,55,72,50,75,69,93,60
Seven persons or more,1267,17,16,33,22,51,45,47,42,42,39,38,49,39,34
Mean size of household,2.62,2.03,2.14,1.75,1.78,1.94,2.07,2.17,2.18,2.29,2.42,2.41,2.54,2.48,2.54
Number of Earners
No earners,21280,1303,882,2686,2398,2193,1794,1487,1332,1087,879,721,589,487,448
One earner,35150,598,608,1150,1214,1876,1625,1920,1763,2064,1576,1984,1315,1962,1188
Two earners and more,46098,62,79,136,182,361,476,621,714,859,943,1145,1160,1321,1268
2 earners,36188,55,79,131,170,351,443,574,662,788,825,1047,1013,1176,1113
3 earners,7429,5,0,5,11,9,33,35,44,67,109,84,131,135,134
4 earners or more,2480,2,0,0,0,2,0,11,8,3,9,14,16,10,22
Mean number of earners,1.41,.37,.49,.37,.43,.60,.69,.82,.88,.99,1.10,1.17,1.28,1.30,1.38
Work Experience of
Householder
Total,102528,1962,1569,3972,3793,4431,3895,4027,3810,4009,3397,3849,3064,3770,2903
Worked,73415,595,623,1113,1220,1934,1845,2185,2168,2575,2175,2740,2160,2883,2180
Worked at f-t jobs,63318,312,327,566,711,1375,1322,1639,1716,2107,1801,2367,1841,2562,1910
50 weeks or more,53665,161,89,183,322,808,841,1191,1279,1688,1407,1986,1493,2208,1612
27 to 49 weeks,6311,34,65,148,208,350,268,265,270,280,248,254,206,240,214
26 weeks or less,3341,117,173,235,182,216,214,183,167,139,146,128,142,115,83
Worked at p-t jobs,10098,282,296,547,509,560,523,546,452,468,374,373,319,320,270
50 weeks or more,5090,49,75,197,233,291,246,284,229,256,184,218,176,163,136
27 to 49 weeks,2224,32,63,119,112,92,114,127,107,95,89,77,66,78,62
26 weeks or less,2784,201,157,231,164,176,163,135,116,117,102,78,77,80,73
Did not work,29113,1367,946,2859,2573,2496,2050,1842,1642,1435,1222,1109,904,887,723

"TABLE H-1. Selected Characteristics of households, by Total Money Income in 1997 (Numbers in thousands)"
,"$35,0- 00 to $37,4- 99","$37,5- 00 to $39,9- 99","$40,0- 00 to $42,4- 99","$42,5- 00 to $44,9- 99","$45,0- 00 to $47,4- 99","$47,5- 00 to $49,9- 99","$50,0- 00 to $52,4- 99","$52,5- 00 to $54,9- 99","$55,0- 00 to $57,4- 99","$57,5- 00 to $59,9- 99","$60,0- 00 to $62,4- 99","$62,5- 00 to $64,9- 99","$65,0- 00 to $67,4- 99","$67,5- 00 to $69,9- 99","$70,0- 00 to $72,4- 99"
Mean age of householder,45.9,46.8,45.7,45.4,45.1,45.5,44.6,45.8,44.3,45.6,43.9,45.4,45.0,44.7,44.2
Size of Household
One person,784,571,641,331,420,310,430,212,269,178,225,132,192,146,152
Two persons,1214,964,1170,904,924,719,957,767,697,583,675,549,610,448,558
Three persons,612,405,558,506,554,417,558,457,518,348,525,300,426,320,310
Four persons,532,379,495,359,516,476,521,396,449,331,524,322,370,336,355
Five persons,249,170,265,220,236,170,242,146,186,122,201,144,202,118,167
Six persons,77,70,68,72,68,55,68,49,69,48,46,53,70,36,31
Seven persons or more,36,45,40,38,22,34,33,28,46,19,33,23,8,15,12
Mean size of household,2.67,2.67,2.73,2.90,2.89,2.96,2.87,2.95,3.06,3.00,3.11,3.12,3.06,3.09,3.02
Number of Earners
No earners,410,289,277,190,172,158,156,136,132,75,56,65,79,50,43
One earner,1550,1084,1301,689,946,593,890,540,569,412,573,332,479,324,378
Two earners and more,1545,1231,1659,1551,1621,1430,1762,1379,1534,1143,1599,1126,1320,1046,1163
2 earners,1303,1046,1436,1254,1324,1139,1457,1045,1212,869,1283,882,1039,766,935
3 earners,215,151,189,242,244,252,249,276,267,220,228,186,221,216,156
4 earners or more,27,35,33,56,53,38,56,58,54,54,88,58,60,64,71
Mean number of earners,1.45,1.48,1.55,1.77,1.70,1.78,1.74,1.87,1.86,1.93,1.94,1.95,1.89,2.02,1.94
Work Experience of
Householder
Total,3506,2605,3237,2430,2739,2181,2809,2055,2234,1630,2228,1523,1878,1420,1585
Worked,2758,2043,2667,2026,2329,1850,2460,1740,1942,1412,2016,1362,1646,1280,1437
Worked at f-t jobs,2434,1746,2389,1788,2093,1650,2264,1566,1770,1272,1873,1278,1527,1192,1327
50 weeks or more,2104,1476,2098,1547,1859,1386,2048,1381,1606,1127,1656,1171,1385,1097,1201
27 to 49 weeks,212,182,237,181,170,207,150,135,119,109,164,90,117,62,98
26 weeks or less,118,88,53,60,64,57,65,51,45,36,53,17,25,32,28
Worked at p-t jobs,324,297,279,238,236,201,197,173,172,140,143,84,119,89,110
50 weeks or more,184,158,154,97,124,111,111,90,103,55,80,34,59,55,65
27 to 49 weeks,70,86,49,76,51,46,57,49,32,41,34,22,31,21,21
26 weeks or less,69,53,76,65,61,43,29,35,36,45,29,28,30,13,24
Did not work,748,561,570,404,410,331,348,316,292,218,212,161,232,140,148

"TABLE H-1. Selected Characteristics of households, by Total Money Income in 1997 (Numbers in thousands)"
,"$72,5- 00","$75,0- 00","$77,5- 00","$80,0- 00","$82,5- 00","$85,0- 00","$87,5- 00","$90,0- 00","$92,5- 00","$95,0- 00","$97,5- 00",,Median income,,Mean income
,"to $74,9- 99","to $77,4- 99","to $79,9- 99","to $82,4- 99","to $84,9- 99","to $87,4- 99","to $89,9- 99","to $92,4- 99","to $94,9- 99","to $97,4- 99","to $99,9- 99",$100K and over,Value (Dol.),Std. error (Dol.),Value (Dol.)
Mean age of householder,45.9,44.7,45.8,44.5,46.5,47.2,46.7,45.9,47.0,45.7,47.5,48.2,(X),(X),(X)
Size of Household
One person,87,117,86,89,65,45,38,47,37,40,56,621,18762,209,27115
Two persons,372,428,343,425,360,378,253,279,227,239,198,3168,39343,353,52221
Three persons,265,323,232,250,235,207,171,166,145,127,163,2116,47115,455,57466
Four persons,268,280,258,286,207,217,179,199,182,177,122,2325,53165,586,66457
Five persons,130,141,93,109,114,73,65,78,83,77,45,1028,50407,701,63043
Six persons,34,35,32,45,20,24,30,26,16,21,19,263,46465,1326,57483
Seven persons or more,14,21,9,31,15,11,11,10,14,15,26,141,42343,1689,55455
Mean size of household,3.19,3.14,3.13,3.18,3.15,3.08,3.25,3.19,3.29,3.30,3.21,3.22,(X),(X),(X)
Number of Earners
No earners,49,57,46,40,44,43,23,12,17,21,26,327,14142,152,20491
One earner,195,265,210,260,162,182,118,122,99,89,105,1840,29780,259,40303
Two earners and more,925,1024,798,934,811,729,605,671,588,585,498,7494,57525,310,70331
2 earners,669,743,541,695,548,544,400,486,360,400,299,5085,54192,341,66521
3 earners,192,218,184,173,185,124,140,128,148,140,134,1549,67182,734,79019
4 earners or more,64,64,73,66,78,62,66,58,81,45,65,859,84816,1324,99882
Mean number of earners,2.11,2.04,2.09,2.03,2.19,2.03,2.24,2.21,2.34,2.21,2.28,2.17,(X),(X),(X)
Work Experience of
Householder
Total,1169,1345,1054,1234,1017,955,747,805,704,696,629,9661,37005,171,49692
Worked,1048,1209,943,1116,897,844,694,750,648,642,558,8703,45877,218,58169
Worked at f-t jobs,984,1130,863,1064,808,789,629,721,595,579,511,7919,48488,285,60557
50 weeks or more,892,1041,787,976,746,733,598,673,539,531,462,7276,51336,212,63899
27 to 49 weeks,78,63,65,74,46,42,16,35,42,38,42,488,36263,702,46422
26 weeks or less,15,26,11,14,15,14,15,12,15,9,7,155,23254,740,33591
Worked at p-t jobs,64,79,80,52,89,55,65,28,52,64,47,784,28437,589,43194
50 weeks or more,32,52,43,30,46,32,34,17,30,34,24,500,31640,821,49003
27 to 49 weeks,19,12,26,13,19,7,15,8,14,8,15,149,30652,1176,42672
26 weeks or less,13,15,10,8,24,16,16,3,8,21,8,135,21023,844,32993
Did not work,122,136,111,118,120,111,53,56,56,53,72,958,18143,194,28314

"TABLE H-1. Selected Characteristics of households, by Total Money Income in 1997 (Numbers in thousands)"
,Mean income Std. error (Dol.)
Mean age of householder,(X)
Size of Household
One person,336
Two persons,507
Three persons,659
Four persons,893
Five persons,1129
Six persons,1906
Seven persons or more,2544
Mean size of household,(X)
Number of Earners
No earners,233
One earner,435
Two earners and more,467
2 earners,508
3 earners,1144
4 earners or more,2749
Mean number of earners,(X)
Work Experience of
Householder
Total,278
Worked,351
Worked at f-t jobs,376
50 weeks or more,420
27 to 49 weeks,907
26 weeks or less,1193
Worked at p-t jobs,954
50 weeks or more,1594
27 to 49 weeks,1730
26 weeks or less,1201
Did not work,355

"TABLE H-1. Selected Characteristics of households, by Total Money Income in 1997 (Numbers in thousands)"
,Total,"Under $2,500","$2,500 to $4,999","$5,000 to $7,499","$7,500 to $9,999","$10,0- 00 to $12,4- 99","$12,5- 00 to $14,9- 99","$15,0- 00 to $17,4- 99","$17,5- 00 to $19,9- 99","$20,0- 00 to $22,4- 99","$22,5- 00 to $24,9- 99","$25,0- 00 to $27,4- 99","$27,5- 00 to $29,9- 99","$30,0- 00 to $32,4- 99","$32,5- 00 to $34,9- 99"
Years of School Completed
by Householder
"Total, 25 yrs. & over",97093,1759,1328,3611,3456,4101,3629,3657,3544,3674,3147,3573,2835,3492,2735
Less Than 9th Grade,7369,194,284,908,837,781,562,545,408,391,321,296,201,206,139
9th to 11th Grade,9686,378,323,836,784,718,684,640,511,530,398,391,296,361,255
High School Graduate
(Includes Equivalency),30739,625,451,1077,1101,1381,1276,1369,1356,1335,1185,1374,1061,1240,1054
"Some College, No Degree",17225,273,137,418,399,665,622,505,638,699,586,697,605,723,566
Associate Degree,7263,104,60,135,119,215,174,205,233,237,226,245,209,269,217
Bachelor's Degree or More,24811,185,74,237,217,340,312,393,399,482,431,571,462,692,503
Bachelor's Degree,16098,119,59,175,175,231,225,289,299,351,337,406,312,520,366
Master's Degree,5735,51,4,52,28,74,66,79,76,89,79,121,110,126,105
Professional Degree,1693,7,6,7,10,17,10,18,11,24,5,20,21,33,13
Doctorate Degree,1285,8,6,2,4,18,10,7,12,18,10,24,19,14,19
TENURE
Owner occupied,67873,840,517,1406,1613,2158,2039,2160,2151,2258,1997,2230,1883,2238,1890
Renter occupied,32954,1016,991,2413,2086,2154,1728,1765,1581,1676,1325,1560,1120,1487,968
Occupier paid no cash
rent,1701,106,61,153,94,119,127,102,78,76,75,59,61,46,46

"TABLE H-1. Selected Characteristics of households, by Total Money Income in 1997 (Numbers in thousands)"
,"$35,0- 00 to $37,4- 99","$37,5- 00 to $39,9- 99","$40,0- 00 to $42,4- 99","$42,5- 00 to $44,9- 99","$45,0- 00 to $47,4- 99","$47,5- 00 to $49,9- 99","$50,0- 00 to $52,4- 99","$52,5- 00 to $54,9- 99","$55,0- 00 to $57,4- 99","$57,5- 00 to $59,9- 99","$60,0- 00 to $62,4- 99","$62,5- 00 to $64,9- 99","$65,0- 00 to $67,4- 99","$67,5- 00 to $69,9- 99","$70,0- 00 to $72,4- 99"
Years of School Completed
by Householder
"Total, 25 yrs. & over",3322,2475,3088,2276,2620,2107,2709,1981,2155,1573,2187,1504,1846,1398,1562
Less Than 9th Grade,167,142,107,95,107,72,69,45,47,35,54,33,23,33,11
9th to 11th Grade,282,213,222,207,166,150,205,134,109,119,83,48,70,49,44
High School Graduate
(Includes Equivalency),1185,915,1156,808,945,682,879,679,770,507,700,467,532,435,457
"Some College, No Degree",642,433,613,465,547,421,512,401,390,332,393,303,359,268,331
Associate Degree,286,219,259,198,216,178,277,149,206,131,221,141,216,135,138
Bachelor's Degree or More,759,553,731,502,639,605,767,572,634,449,736,512,646,478,581
Bachelor's Degree,548,380,492,352,405,403,530,444,425,330,525,360,456,304,392
Master's Degree,159,132,168,108,151,154,155,96,144,95,168,120,126,128,126
Professional Degree,33,27,38,26,58,30,37,21,46,13,16,22,27,20,31
Doctorate Degree,19,13,32,16,25,17,45,11,19,11,27,11,37,26,31
TENURE
Owner occupied,2245,1820,2127,1720,1959,1602,2102,1540,1728,1286,1716,1211,1528,1157,1290
Renter occupied,1196,737,1061,674,761,546,678,481,488,331,493,299,334,249,284
Occupier paid no cash
rent,65,48,49,36,19,33,28,34,18,13,19,13,16,14,11

"TABLE H-1. Selected Characteristics of households, by Total Money Income in 1997 (Numbers in thousands)"
,"$72,5- 00","$75,0- 00","$77,5- 00","$80,0- 00","$82,5- 00","$85,0- 00","$87,5- 00","$90,0- 00","$92,5- 00","$95,0- 00","$97,5- 00",,Median income,,Mean income
,"to $74,9- 99","to $77,4- 99","to $79,9- 99","to $82,4- 99","to $84,9- 99","to $87,4- 99","to $89,9- 99","to $92,4- 99","to $94,9- 99","to $97,4- 99","to $99,9- 99",$100K and over,Value (Dol.),Std. error (Dol.),Value (Dol.)
Years of School Completed
by Householder
"Total, 25 yrs. & over",1156,1325,1026,1203,1000,944,743,802,704,687,624,9537,38190,236,50849
Less Than 9th Grade,25,19,8,9,10,8,9,9,13,9,19,117,15541,295,22810
9th to 11th Grade,37,41,53,25,32,32,16,22,6,18,22,176,19851,357,27942
High School Graduate
(Includes Equivalency),327,330,232,314,264,199,151,159,149,140,126,1345,33779,311,41173
"Some College, No Degree",244,283,207,249,184,153,151,137,140,116,117,1300,40015,481,49395
Associate Degree,128,123,113,127,93,74,80,82,47,42,47,690,45258,760,55521
Bachelor's Degree or More,395,529,412,478,418,478,335,393,349,362,293,5909,63292,575,79749
Bachelor's Degree,254,347,269,321,272,282,229,265,193,228,204,3021,59048,719,71521
Master's Degree,100,113,103,105,101,142,71,90,107,91,58,1565,68115,1112,82955
Professional Degree,28,37,25,26,26,24,16,19,18,23,26,778,92228,4135,126778
Doctorate Degree,12,32,15,26,19,29,18,19,31,21,6,545,87232,2882,106549
TENURE
Owner occupied,960,1110,872,1010,867,830,670,705,615,603,564,8655,45821,249,58829
Renter occupied,191,229,179,219,144,125,73,98,89,91,62,972,24514,256,32018
Occupier paid no cash
rent,19,7,2,5,6,0,4,2,0,2,3,35,20376,1010,27503

"TABLE H-1. Selected Characteristics of households, by Total Money Income in 1997 (Numbers in thousands)"
,Mean income Std. error (Dol.)
Years of School Completed
by Householder
"Total, 25 yrs. & over",290
Less Than 9th Grade,513
9th to 11th Grade,586
High School Graduate
(Includes Equivalency),367
"Some College, No Degree",618
Associate Degree,1156
Bachelor's Degree or More,762
Bachelor's Degree,794
Master's Degree,1581
Professional Degree,5054
Doctorate Degree,3932
TENURE
Owner occupied,388
Renter occupied,273
Occupier paid no cash
rent,959
,
Source: U.S. Census Bureau
Contact: Housing and Household Economic Statistics Information Staff at (301)763-3242
"Last revised: July 14, 2004"
URL: http://148.129.86.150:8080/macro/031998/hhinc/1_000.htm
