
"TABLE H-1. Selected Characteristics of households, by Total Money Income in 1994 (Numbers in thousands)"
,Total,"Under $2,500","$2,500 to $4,999","$5,000 to $7,499","$7,500 to $9,999","$10,0- 00 to $12,4- 99","$12,5- 00 to $14,9- 99","$15,0- 00 to $17,4- 99","$17,5- 00 to $19,9- 99","$20,0- 00 to $22,4- 99","$22,5- 00 to $24,9- 99","$25,0- 00 to $27,4- 99","$27,5- 00 to $29,9- 99","$30,0- 00 to $32,4- 99","$32,5- 00 to $34,9- 99"
Nonfamily households,29686,1054,1043,2976,2705,2490,1890,1826,1483,1608,1256,1284,913,1100,718
Male householder,13190,385,335,860,752,863,691,820,642,759,584,690,458,564,374
Living alone,10140,363,302,806,683,780,628,684,524,616,459,549,340,454,274
Female householder,16496,669,708,2117,1953,1626,1199,1006,842,848,673,594,455,535,345
Living alone,14592,638,689,2085,1920,1539,1140,937,757,759,586,523,368,435,293
Age of Householder
Under 65 years,77625,1620,1478,2839,2468,2790,2448,2891,2525,3045,2891,3031,2499,3194,2496
15 to 24 years,5444,243,276,377,364,452,342,425,329,353,291,284,255,246,178
25 to 34 years,19453,352,460,686,675,755,728,848,747,914,832,941,720,885,699
35 to 44 years,22914,403,303,717,551,661,574,712,586,753,777,905,627,953,763
45 to 54 years,17590,286,197,479,376,454,414,468,443,526,491,471,482,638,472
55 to 64 years,12224,335,242,579,502,468,391,438,420,499,499,429,415,473,384
65 years and over,21365,372,575,1941,2121,1960,1826,1562,1368,1251,956,793,754,663,602
65 to 74 years,11803,177,266,866,840,873,892,846,730,725,575,478,492,457,380
75 years and over,9562,195,309,1075,1281,1087,934,716,638,526,381,315,262,206,222

"TABLE H-1. Selected Characteristics of households, by Total Money Income in 1994 (Numbers in thousands)"
,"$35,0- 00 to $37,4- 99","$37,5- 00 to $39,9- 99","$40,0- 00 to $42,4- 99","$42,5- 00 to $44,9- 99","$45,0- 00 to $47,4- 99","$47,5- 00 to $49,9- 99","$50,0- 00 to $52,4- 99","$52,5- 00 to $54,9- 99","$55,0- 00 to $57,4- 99","$57,5- 00 to $59,9- 99","$60,0- 00 to $62,4- 99","$62,5- 00 to $64,9- 99","$65,0- 00 to $67,4- 99","$67,5- 00 to $69,9- 99","$70,0- 00 to $72,4- 99"
All households,3376,2654,3102,2471,2575,1960,2620,1755,1933,1608,1956,1470,1515,1208,1247
Type of Residence
Inside metro. areas,2591,2084,2476,1923,2085,1568,2196,1420,1587,1360,1645,1241,1305,1009,1066
Inside central cities,950,777,896,701,735,516,724,437,484,424,487,401,403,317,334
One million or more,561,478,558,406,428,298,440,236,283,267,307,248,257,191,216
Under one million,390,299,338,295,307,218,284,201,201,157,179,154,145,126,117
Outside central cities,1641,1307,1580,1222,1351,1052,1471,982,1103,936,1158,839,902,691,732
One million or more,1024,821,1006,777,888,681,951,672,731,648,806,534,646,516,513
Under one million,617,486,575,445,462,371,521,311,372,288,352,306,256,176,219
Outside metro. areas,785,570,626,548,490,392,424,335,347,248,311,229,211,200,181
Region
Northeast,593,494,627,468,513,404,545,395,421,294,411,274,295,247,252
Midwest,849,698,771,637,658,479,616,413,499,416,458,361,379,283,271
South,1251,885,1044,822,866,667,925,557,620,497,650,568,466,363,406
West,684,577,661,544,538,410,534,389,394,401,437,267,376,315,319
Race and Hispanic Origin
of Householder
White,2969,2274,2702,2156,2213,1705,2321,1560,1714,1397,1741,1309,1367,1038,1120
Black,291,279,302,212,280,187,195,143,158,161,143,106,92,117,84
Hispanic,276,199,213,162,131,134,162,92,94,83,118,61,74,62,65
Type of Household
Family households,2491,2052,2377,2015,2086,1606,2144,1467,1631,1385,1687,1337,1288,1040,1079
Married-couple families,1969,1627,1954,1688,1753,1351,1870,1284,1447,1197,1517,1210,1180,947,964
"Male householder, nsp",120,120,110,86,89,89,90,48,54,73,49,45,36,37,47
"Female householder, nsp",402,306,313,241,243,166,184,135,130,114,121,81,72,56,68
Nonfamily households,885,602,725,456,489,354,475,288,302,223,269,133,228,168,168
Male householder,500,340,443,229,283,198,280,166,198,124,191,76,143,94,111
Living alone,369,246,327,141,158,108,185,103,111,64,110,42,90,44,44
Female householder,385,261,282,228,207,155,195,122,104,99,78,57,85,75,57
Living alone,306,190,223,159,145,111,137,73,74,64,39,33,32,42,34
Age of Householder
Under 65 years,2891,2181,2741,2145,2359,1761,2384,1551,1706,1452,1839,1342,1387,1129,1152
15 to 24 years,162,100,154,73,84,38,79,31,44,26,39,15,29,8,27
25 to 34 years,879,642,750,575,700,441,680,385,391,351,408,289,296,226,257
35 to 44 years,879,707,879,627,729,588,795,577,577,470,646,427,497,393,403
45 to 54 years,564,444,595,516,532,431,536,333,408,382,512,422,377,319,328
55 to 64 years,407,288,362,355,314,264,295,226,285,222,233,188,188,183,137
65 years and over,485,473,362,326,216,199,236,204,228,156,116,129,128,80,95
65 to 74 years,313,308,220,231,168,140,151,144,150,113,81,100,103,55,68
75 years and over,172,164,142,95,48,59,84,60,78,43,36,29,25,25,27

"TABLE H-1. Selected Characteristics of households, by Total Money Income in 1994 (Numbers in thousands)"
,"$72,5- 00","$75,0- 00","$77,5- 00","$80,0- 00","$82,5- 00","$85,0- 00","$87,5- 00","$90,0- 00","$92,5- 00","$95,0- 00","$97,5- 00",,Median income,,Mean income
,"to $74,9- 99","to $77,4- 99","to $79,9- 99","to $82,4- 99","to $84,9- 99","to $87,4- 99","to $89,9- 99","to $92,4- 99","to $94,9- 99","to $97,4- 99","to $99,9- 99",$100K and over,Value (Dol.),Std. error (Dol.),Value (Dol.)
All households,1059,1179,877,941,648,647,560,679,503,503,404,6581,32264,147,43133
Type of Residence
Inside metro. areas,915,1006,772,812,562,584,483,620,449,458,357,6012,34251,212,45614
Inside central cities,254,293,220,241,167,144,150,152,147,121,101,1604,27698,301,38507
One million or more,166,192,138,160,93,103,93,94,83,86,80,1084,27433,348,39252
Under one million,88,101,82,81,74,42,56,58,64,35,22,520,28185,526,37272
Outside central cities,661,714,552,570,396,440,333,467,302,337,255,4409,38660,303,50067
One million or more,481,533,397,391,279,314,225,354,228,258,207,3501,41486,319,53852
Under one million,180,180,155,180,117,125,108,113,75,79,48,907,34073,438,42727
Outside metro. areas,145,173,105,130,86,63,77,59,54,45,47,569,26249,367,33571
Region
Northeast,224,273,165,227,140,188,117,168,130,127,105,1684,34926,406,47938
Midwest,252,289,214,212,133,163,153,150,96,111,107,1320,32505,304,41597
South,313,340,256,308,204,168,172,220,163,168,114,1920,30021,259,39987
West,271,277,241,193,171,128,117,141,114,97,78,1657,34452,411,45595
Race and Hispanic Origin
of Householder
White,957,1069,793,846,580,579,524,597,456,442,372,6007,34028,191,45034
Black,63,68,53,63,37,50,24,48,20,48,20,299,21027,391,29259
Hispanic,35,69,26,36,35,31,25,24,19,24,12,215,23421,435,31582
Type of Household
Family households,930,1059,767,844,567,565,501,611,455,471,371,5869,39390,231,49866
Married-couple families,868,961,702,800,530,534,450,567,417,426,363,5618,45041,242,56053
"Male householder, nsp",29,33,23,15,20,12,18,12,11,19,2,112,30472,759,37554
"Female householder, nsp",32,65,42,29,17,19,33,32,28,26,6,139,19872,340,25847
Nonfamily households,129,120,110,97,81,82,59,67,49,32,33,713,18947,209,27414
Male householder,84,71,59,63,49,56,35,49,29,27,25,492,24593,354,33494
Living alone,37,39,33,37,20,30,15,28,11,15,12,258,21216,294,28772
Female householder,45,49,51,34,32,26,24,18,20,5,8,221,14948,206,22552
Living alone,22,27,30,21,5,8,11,2,11,2,0,122,13431,191,19717
Age of Householder
Under 65 years,991,1078,824,842,614,603,520,631,468,451,360,6011,37247,173,47670
15 to 24 years,14,11,8,5,8,8,4,1,1,7,2,48,19340,403,23214
25 to 34 years,184,189,138,124,112,111,85,98,74,73,60,693,33151,359,39338
35 to 44 years,350,386,303,270,201,197,171,189,142,132,121,1974,41667,310,51812
45 to 54 years,307,322,248,338,215,221,183,224,162,157,122,2198,47261,473,58996
55 to 64 years,137,168,128,104,78,67,77,119,90,82,55,1099,35232,497,47762
65 years and over,68,102,53,99,34,44,40,48,35,52,44,570,18095,192,26645
65 to 74 years,49,68,41,84,25,26,31,32,24,39,31,415,21422,270,30649
75 years and over,19,34,12,16,9,18,9,16,12,13,13,156,14731,188,21704

"TABLE H-1. Selected Characteristics of households, by Total Money Income in 1994 (Numbers in thousands)"
,Mean income Std. error (Dol.)
All households,232
Type of Residence
Inside metro. areas,275
Inside central cities,387
One million or more,535
Under one million,518
Outside central cities,374
One million or more,491
Under one million,538
Outside metro. areas,435
Region
Northeast,579
Midwest,405
South,352
West,519
Race and Hispanic Origin
of Householder
White,262
Black,420
Hispanic,788
Type of Household
Family households,289
Married-couple families,351
"Male householder, nsp",790
"Female householder, nsp",354
Nonfamily households,340
Male householder,598
Living alone,578
Female householder,372
Living alone,376
Age of Householder
Under 65 years,278
15 to 24 years,371
25 to 34 years,422
35 to 44 years,521
45 to 54 years,713
55 to 64 years,730
65 years and over,313
65 to 74 years,474
75 years and over,371

"TABLE H-1. Selected Characteristics of households, by Total Money Income in 1994 (Numbers in thousands)"
,Total,"Under $2,500","$2,500 to $4,999","$5,000 to $7,499","$7,500 to $9,999","$10,0- 00 to $12,4- 99","$12,5- 00 to $14,9- 99","$15,0- 00 to $17,4- 99","$17,5- 00 to $19,9- 99","$20,0- 00 to $22,4- 99","$22,5- 00 to $24,9- 99","$25,0- 00 to $27,4- 99","$27,5- 00 to $29,9- 99","$30,0- 00 to $32,4- 99","$32,5- 00 to $34,9- 99"
Mean age of householder,48.4,47.2,48.6,55.0,57.1,54.2,54.6,51.3,51.7,49.5,48.3,46.3,47.8,45.8,46.7
Size of Household
One person,24732,1001,991,2891,2603,2319,1768,1621,1280,1375,1045,1073,709,889,567
Two persons,31834,462,434,785,898,1262,1408,1531,1458,1603,1375,1382,1256,1419,1107
Three persons,16827,237,274,485,461,506,456,626,498,575,638,597,553,661,572
Four persons,15321,166,216,349,356,343,341,361,363,417,435,404,467,547,471
Five persons,6616,85,75,171,170,204,170,182,190,176,232,243,161,219,241
Six persons,2279,18,41,49,57,55,81,77,49,93,71,75,59,75,86
Seven persons or more,1382,23,22,49,43,62,52,56,54,56,51,50,48,46,54
Mean size of household,2.65,2.03,2.13,1.86,1.91,2.04,2.15,2.23,2.30,2.32,2.48,2.48,2.59,2.60,2.80
Number of Earners
No earners,21404,1326,1295,3291,2821,2262,1823,1458,1274,1038,812,578,539,472,349
One earner,32973,582,679,1268,1421,1989,1838,2186,1762,2130,1720,1883,1395,1688,1164
Two earners and more,44614,84,78,221,347,500,614,809,857,1127,1314,1362,1319,1697,1585
2 earners,34986,75,73,206,309,473,562,742,771,1014,1145,1203,1122,1451,1362
3 earners,7257,9,2,14,33,26,47,62,75,102,154,138,150,213,194
4 earners or more,2370,0,3,0,5,1,5,6,11,11,15,22,47,34,29
Mean number of earners,1.40,.39,.42,.37,.48,.65,.75,.89,.94,1.08,1.21,1.29,1.37,1.43,1.52
Work Experience of
Householder
Total,98990,1992,2053,4780,4589,4751,4275,4453,3893,4296,3846,3824,3253,3857,3098
Worked,70505,592,661,1300,1523,2210,2106,2639,2257,2885,2684,2892,2373,3046,2442
Worked at f-t jobs,61583,349,326,770,945,1550,1519,2085,1832,2459,2296,2515,2087,2710,2176
50 weeks or more,51383,173,85,260,440,976,1055,1453,1355,1938,1879,2074,1726,2300,1835
27 to 49 weeks,6649,60,50,198,255,339,279,385,296,341,273,333,261,288,214
26 weeks or less,3552,117,192,312,250,236,185,247,181,180,144,108,101,123,128
Worked at p-t jobs,8921,243,334,529,578,660,587,554,425,426,388,376,286,335,266
50 weeks or more,4153,51,59,183,231,282,275,274,217,196,184,166,154,139,139
27 to 49 weeks,2076,39,73,105,151,165,136,107,101,106,111,111,72,84,58
26 weeks or less,2692,153,202,241,196,213,176,173,107,125,93,100,59,112,69
Did not work,28486,1399,1392,3480,3066,2541,2169,1814,1636,1411,1162,932,880,811,656

"TABLE H-1. Selected Characteristics of households, by Total Money Income in 1994 (Numbers in thousands)"
,"$35,0- 00 to $37,4- 99","$37,5- 00 to $39,9- 99","$40,0- 00 to $42,4- 99","$42,5- 00 to $44,9- 99","$45,0- 00 to $47,4- 99","$47,5- 00 to $49,9- 99","$50,0- 00 to $52,4- 99","$52,5- 00 to $54,9- 99","$55,0- 00 to $57,4- 99","$57,5- 00 to $59,9- 99","$60,0- 00 to $62,4- 99","$62,5- 00 to $64,9- 99","$65,0- 00 to $67,4- 99","$67,5- 00 to $69,9- 99","$70,0- 00 to $72,4- 99"
Mean age of householder,45.0,46.2,44.5,45.8,43.2,45.2,43.6,45.2,46.2,45.4,43.9,45.5,44.9,45.2,44.4
Size of Household
One person,675,436,550,301,303,219,323,176,185,128,149,75,122,85,78
Two persons,1222,987,1066,861,889,649,819,589,693,551,621,494,535,401,410
Three persons,556,508,504,549,562,445,623,343,421,381,433,334,286,243,287
Four persons,536,457,597,473,515,397,563,373,440,354,419,379,366,290,319
Five persons,259,162,240,192,187,160,196,179,136,131,214,137,155,129,94
Six persons,88,69,91,62,88,48,58,44,44,44,90,25,42,42,37
Seven persons or more,39,34,54,33,30,42,39,50,13,18,29,26,10,18,21
Mean size of household,2.72,2.79,2.86,2.95,2.97,3.07,2.99,3.14,2.98,3.07,3.26,3.19,3.11,3.20,3.19
Number of Earners
No earners,293,239,218,134,102,106,100,84,95,60,43,60,49,30,39
One earner,1410,913,1165,709,729,485,787,382,440,338,485,251,264,181,238
Two earners and more,1673,1502,1719,1629,1744,1368,1733,1289,1399,1210,1428,1159,1202,997,970
2 earners,1431,1259,1435,1321,1443,1042,1418,990,1103,921,1060,832,930,696,700
3 earners,193,203,219,264,239,261,267,230,242,244,279,261,193,204,205
4 earners or more,49,40,65,44,61,66,48,69,54,46,89,66,80,97,64
Mean number of earners,1.54,1.64,1.65,1.81,1.84,1.93,1.81,1.95,1.92,1.99,2.02,2.08,2.06,2.21,2.10
Work Experience of
Householder
Total,3376,2654,3102,2471,2575,1960,2620,1755,1933,1608,1956,1470,1515,1208,1247
Worked,2831,2159,2625,2088,2307,1729,2298,1521,1695,1454,1791,1321,1383,1125,1147
Worked at f-t jobs,2577,1957,2440,1905,2131,1604,2143,1402,1580,1367,1667,1232,1302,1048,1076
50 weeks or more,2192,1654,2113,1642,1868,1405,1931,1237,1402,1217,1522,1086,1200,919,982
27 to 49 weeks,286,240,228,178,193,148,155,125,122,112,113,124,76,97,75
26 weeks or less,99,63,99,85,70,51,57,41,56,37,31,21,26,31,20
Worked at p-t jobs,254,202,185,183,177,125,155,119,115,87,124,89,81,78,71
50 weeks or more,134,97,119,90,90,58,95,55,65,57,49,50,58,47,39
27 to 49 weeks,56,67,30,39,52,34,20,30,29,13,29,15,8,17,17
26 weeks or less,64,39,35,54,35,33,40,33,20,17,47,24,15,13,15
Did not work,545,495,477,383,267,231,322,234,239,154,165,150,132,83,100

"TABLE H-1. Selected Characteristics of households, by Total Money Income in 1994 (Numbers in thousands)"
,"$72,5- 00","$75,0- 00","$77,5- 00","$80,0- 00","$82,5- 00","$85,0- 00","$87,5- 00","$90,0- 00","$92,5- 00","$95,0- 00","$97,5- 00",,Median income,,Mean income
,"to $74,9- 99","to $77,4- 99","to $79,9- 99","to $82,4- 99","to $84,9- 99","to $87,4- 99","to $89,9- 99","to $92,4- 99","to $94,9- 99","to $97,4- 99","to $99,9- 99",$100K and over,Value (Dol.),Std. error (Dol.),Value (Dol.)
Mean age of householder,45.4,46.1,45.6,47.0,44.7,45.4,46.4,46.9,47.3,47.5,47.2,47.7,(X),(X),(X)
Size of Household
One person,59,66,63,59,25,38,26,30,22,17,12,380,16222,175,23430
Two persons,323,404,256,296,182,203,175,214,173,156,126,2158,33955,290,44554
Three persons,238,282,207,212,176,149,141,155,99,113,94,1348,41043,463,49741
Four persons,280,250,226,219,168,146,131,152,118,146,117,1653,46757,433,56785
Five persons,109,132,90,124,71,72,47,85,56,42,37,657,44135,763,55411
Six persons,26,27,16,17,17,31,27,27,29,20,14,264,42683,1187,57326
Seven persons or more,24,18,19,14,9,8,13,15,6,8,5,121,36622,1764,48996
Mean size of household,3.31,3.19,3.25,3.25,3.31,3.27,3.37,3.37,3.32,3.40,3.32,3.28,(X),(X),(X)
Number of Earners
No earners,39,32,7,38,18,22,5,20,10,10,24,190,12175,116,17194
One earner,155,258,144,142,89,90,82,98,81,71,39,1241,26210,174,35459
Two earners and more,865,889,726,761,542,535,473,561,412,422,341,5151,51093,219,61248
2 earners,602,641,504,527,338,359,303,366,258,265,225,3512,47734,311,58011
3 earners,179,168,161,177,138,128,125,119,95,116,87,1040,60421,558,69468
4 earners or more,84,81,61,57,66,48,45,76,59,41,29,599,74276,1047,83863
Mean number of earners,2.19,2.11,2.23,2.16,2.31,2.22,2.34,2.30,2.34,2.34,2.25,2.19,(X),(X),(X)
Work Experience of
Householder
Total,1059,1179,877,941,648,647,560,679,503,503,404,6581,32264,147,43133
Worked,976,1072,833,870,604,590,521,625,456,464,361,6049,40622,182,51321
Worked at f-t jobs,905,989,780,814,560,560,489,596,430,430,342,5636,42758,234,53779
50 weeks or more,823,902,709,732,519,513,450,542,388,380,322,5186,45727,218,57031
27 to 49 weeks,64,66,47,64,38,42,28,31,29,44,16,334,32216,549,41149
26 weeks or less,19,21,24,18,3,5,11,23,13,7,4,116,20778,594,30376
Worked at p-t jobs,71,83,53,55,44,30,32,29,26,34,19,414,23303,438,34347
50 weeks or more,38,44,24,38,24,9,21,13,20,15,7,249,26903,704,39029
27 to 49 weeks,15,23,8,13,7,15,5,11,3,13,8,80,23748,736,33517
26 weeks or less,18,15,21,5,13,7,7,5,3,6,4,84,17372,667,27763
Did not work,83,108,44,71,44,57,38,54,47,39,43,532,15270,167,22866

"TABLE H-1. Selected Characteristics of households, by Total Money Income in 1994 (Numbers in thousands)"
,Mean income Std. error (Dol.)
Mean age of householder,(X)
Size of Household
One person,327
Two persons,385
Three persons,587
Four persons,676
Five persons,1027
Six persons,1976
Seven persons or more,2077
Mean size of household,(X)
Number of Earners
No earners,177
One earner,393
Two earners and more,375
2 earners,412
3 earners,1016
4 earners or more,1546
Mean number of earners,(X)
Work Experience of
Householder
Total,232
Worked,299
Worked at f-t jobs,328
50 weeks or more,374
27 to 49 weeks,681
26 weeks or less,887
Worked at p-t jobs,640
50 weeks or more,1048
27 to 49 weeks,1222
26 weeks or less,969
Did not work,239

"TABLE H-1. Selected Characteristics of households, by Total Money Income in 1994 (Numbers in thousands)"
,Total,"Under $2,500","$2,500 to $4,999","$5,000 to $7,499","$7,500 to $9,999","$10,0- 00 to $12,4- 99","$12,5- 00 to $14,9- 99","$15,0- 00 to $17,4- 99","$17,5- 00 to $19,9- 99","$20,0- 00 to $22,4- 99","$22,5- 00 to $24,9- 99","$25,0- 00 to $27,4- 99","$27,5- 00 to $29,9- 99","$30,0- 00 to $32,4- 99","$32,5- 00 to $34,9- 99"
Years of School Completed
by Householder
"Total, 25 yrs. & over",93546,1749,1776,4402,4225,4298,3933,4028,3563,3943,3555,3540,2998,3611,2920
Less Than 9th Grade,8242,228,416,1169,993,849,657,621,456,460,328,274,278,187,191
9th to 11th Grade,9644,315,429,1065,844,791,713,657,496,505,382,399,317,358,278
High School Graduate
(Includes Equivalency),29647,612,585,1308,1431,1503,1447,1372,1271,1487,1314,1339,1117,1358,1048
"Some College, No Degree",16786,288,178,501,559,637,579,725,623,753,726,697,574,696,619
Associate Degree,6403,92,59,103,189,191,172,196,234,242,249,232,169,291,240
Bachelor's Degree or More,22824,215,109,256,209,328,365,458,483,496,556,599,542,720,543
Bachelor's Degree,14380,144,76,187,161,247,261,309,346,361,400,461,376,519,377
Master's Degree,5506,47,24,35,36,46,73,107,104,94,93,96,133,159,113
Professional Degree,1710,14,8,18,4,19,16,24,21,34,36,22,25,28,37
Doctorate Degree,1227,9,1,16,8,16,14,18,13,7,27,19,8,13,16
TENURE
Owner occupied,64045,791,672,1705,2085,2264,2332,2378,2166,2346,2181,2145,2037,2451,2101
Renter occupied,33159,1086,1296,2929,2327,2343,1850,1971,1645,1845,1560,1595,1175,1349,944
Occupier paid no cash
rent,1787,114,85,145,177,143,93,105,82,105,105,84,41,57,53

"TABLE H-1. Selected Characteristics of households, by Total Money Income in 1994 (Numbers in thousands)"
,"$35,0- 00 to $37,4- 99","$37,5- 00 to $39,9- 99","$40,0- 00 to $42,4- 99","$42,5- 00 to $44,9- 99","$45,0- 00 to $47,4- 99","$47,5- 00 to $49,9- 99","$50,0- 00 to $52,4- 99","$52,5- 00 to $54,9- 99","$55,0- 00 to $57,4- 99","$57,5- 00 to $59,9- 99","$60,0- 00 to $62,4- 99","$62,5- 00 to $64,9- 99","$65,0- 00 to $67,4- 99","$67,5- 00 to $69,9- 99","$70,0- 00 to $72,4- 99"
Years of School Completed
by Householder
"Total, 25 yrs. & over",3214,2553,2948,2398,2491,1922,2541,1724,1889,1582,1916,1455,1487,1201,1220
Less Than 9th Grade,175,120,123,92,54,75,74,53,47,32,42,23,17,18,26
9th to 11th Grade,234,220,232,175,113,127,115,75,99,64,79,72,55,58,47
High School Graduate
(Includes Equivalency),1155,875,1032,848,920,647,811,523,623,482,557,416,406,285,273
"Some College, No Degree",677,490,629,516,570,439,543,393,379,326,392,277,313,237,258
Associate Degree,296,220,235,180,206,143,229,191,159,136,157,156,141,93,125
Bachelor's Degree or More,676,628,696,587,629,491,768,488,583,543,690,512,555,510,490
Bachelor's Degree,476,419,462,345,420,333,535,312,364,309,446,337,370,316,315
Master's Degree,151,160,165,184,174,107,169,123,143,143,178,118,134,151,118
Professional Degree,33,25,56,31,22,22,31,34,44,40,40,38,33,25,28
Doctorate Degree,16,23,14,27,12,28,33,20,32,51,26,19,17,18,29
TENURE
Owner occupied,2297,1817,2128,1815,1862,1453,1956,1390,1582,1283,1517,1258,1250,997,1007
Renter occupied,1035,798,924,639,674,496,620,350,338,305,424,206,257,206,231
Occupier paid no cash
rent,44,39,50,16,38,11,44,15,13,20,15,7,8,5,8

"TABLE H-1. Selected Characteristics of households, by Total Money Income in 1994 (Numbers in thousands)"
,"$72,5- 00","$75,0- 00","$77,5- 00","$80,0- 00","$82,5- 00","$85,0- 00","$87,5- 00","$90,0- 00","$92,5- 00","$95,0- 00","$97,5- 00",,Median income,,Mean income
,"to $74,9- 99","to $77,4- 99","to $79,9- 99","to $82,4- 99","to $84,9- 99","to $87,4- 99","to $89,9- 99","to $92,4- 99","to $94,9- 99","to $97,4- 99","to $99,9- 99",$100K and over,Value (Dol.),Std. error (Dol.),Value (Dol.)
Years of School Completed
by Householder
"Total, 25 yrs. & over",1045,1168,869,936,639,639,555,678,502,496,402,6534,33486,188,44292
Less Than 9th Grade,11,11,10,8,10,13,12,7,8,10,8,56,14275,249,19628
9th to 11th Grade,28,45,17,31,16,30,23,21,9,9,7,91,17543,318,23836
High School Graduate
(Includes Equivalency),244,281,217,233,131,149,109,139,104,113,57,826,30071,245,36308
"Some College, No Degree",213,224,166,170,103,130,98,94,69,85,54,786,35879,344,42773
Associate Degree,63,97,85,87,69,49,66,52,63,29,32,384,40258,625,48046
Bachelor's Degree or More,487,510,374,406,311,267,248,364,249,250,243,4391,57440,481,72276
Bachelor's Degree,344,314,210,223,214,152,137,228,138,129,137,2167,52370,501,64536
Master's Degree,115,129,108,115,74,80,81,69,55,89,68,1145,61045,749,74482
Professional Degree,9,32,25,32,12,19,13,36,20,13,20,670,78002,2576,109924
Doctorate Degree,20,35,30,37,11,16,16,31,35,19,18,409,78157,1979,100593
TENURE
Owner occupied,921,996,743,815,545,555,488,579,439,436,356,5903,40299,214,51225
Renter occupied,137,180,128,120,101,91,65,97,59,66,47,651,21534,178,28524
Occupier paid no cash
rent,2,3,6,6,2,1,7,2,5,1,1,27,18462,932,24172

"TABLE H-1. Selected Characteristics of households, by Total Money Income in 1994 (Numbers in thousands)"
,Mean income Std. error (Dol.)
Years of School Completed
by Householder
"Total, 25 yrs. & over",243
Less Than 9th Grade,294
9th to 11th Grade,306
High School Graduate
(Includes Equivalency),319
"Some College, No Degree",431
Associate Degree,865
Bachelor's Degree or More,720
Bachelor's Degree,796
Master's Degree,1300
Professional Degree,3742
Doctorate Degree,5010
TENURE
Owner occupied,315
Renter occupied,291
Occupier paid no cash
rent,788
,
Source: U.S. Census Bureau
Contact: (
hhes-info@census.gov [mailto:hhes-info@census.gov]
") Income, Poverty, and Labor Force Information Staff"
"Last revised: November 18, 1996"
URL: http://www.census.gov/hhes/www/cpstables/macro/031995/hhinc/1_000.htm
