

"TABLE H-1. Selected Characteristics of households, by Total Money Income in 1995 (Numbers in thousands)"
,Total,"Under $2,500","$2,500 to $4,999","$5,000 to $7,499","$7,500 to $9,999","$10,0- 00 to $12,4- 99","$12,5- 00 to $14,9- 99","$15,0- 00 to $17,4- 99","$17,5- 00 to $19,9- 99","$20,0- 00 to $22,4- 99","$22,5- 00 to $24,9- 99","$25,0- 00 to $27,4- 99","$27,5- 00 to $29,9- 99","$30,0- 00 to $32,4- 99","$32,5- 00 to $34,9- 99"
45 to 54 years,607,529,596,455,519,478,491,420,442,354,414,386,436,339,404
55 to 64 years,435,382,400,278,346,258,296,220,293,198,247,228,187,163,193
65 years and over,513,470,450,346,283,264,260,226,164,215,126,154,153,123,75
65 to 74 years,322,309,305,238,226,174,176,170,114,149,90,101,125,89,55
75 years and over,191,161,145,109,58,90,84,56,50,67,36,53,28,34,21

"TABLE H-1. Selected Characteristics of households, by Total Money Income in 1995 (Numbers in thousands)"
,"$72,5- 00","$75,0- 00","$77,5- 00","$80,0- 00","$82,5- 00","$85,0- 00","$87,5- 00","$90,0- 00","$92,5- 00","$95,0- 00","$97,5- 00",,Median income,,Mean income
,"to $74,9- 99","to $77,4- 99","to $79,9- 99","to $82,4- 99","to $84,9- 99","to $87,4- 99","to $89,9- 99","to $92,4- 99","to $94,9- 99","to $97,4- 99","to $99,9- 99",$100K and over,Value (Dol.),Std. error (Dol.),Value (Dol.)
All households,1030,1121,1019,998,870,751,638,659,558,598,466,7114,34076,197,44938
Type of Residence
Inside metro. areas,895,1014,880,870,763,681,552,574,507,537,429,6531,36079,199,47326
Inside central cities,286,277,221,253,216,194,115,164,148,149,96,1887,28941,305,40034
One million or more,171,162,141,173,141,112,77,101,102,116,63,1306,28633,383,40647
Under one million,115,115,80,80,75,81,38,63,47,33,33,580,29478,503,38949
Outside central cities,609,737,659,616,548,487,437,410,359,388,333,4644,40939,257,51947
One million or more,445,544,503,467,397,364,329,280,260,299,278,3727,44073,432,55396
Under one million,164,193,156,149,150,123,108,130,99,89,56,917,35422,399,44638
Outside metro. areas,135,107,139,128,107,70,85,85,51,61,37,583,27776,403,35281
Region
Northeast,196,259,195,221,176,166,132,142,114,122,103,1740,36111,359,48039
Midwest,291,231,297,220,238,164,161,181,113,146,108,1612,35839,357,45344
South,303,368,271,293,260,222,191,216,166,184,133,2060,30942,256,41276
West,240,263,256,263,196,198,154,121,165,146,122,1703,35979,407,47688
Race and Hispanic Origin
of Householder
White,903,991,921,899,776,675,585,626,511,522,433,6533,35766,187,46729
Black,66,84,68,63,62,50,31,16,24,46,16,259,22393,382,30400
Hispanic,41,40,37,41,23,28,23,28,24,25,23,193,22860,498,31201
Type of Household
Family households,899,943,897,863,766,674,588,603,510,539,420,6370,41224,208,51985
Married-couple families,799,861,828,783,699,641,529,565,474,524,389,6033,47129,229,58493
"Male householder, nsp",41,20,43,29,31,15,19,23,15,7,19,154,33534,964,40527
"Female householder, nsp",60,62,26,52,36,17,40,15,21,8,12,183,21348,328,27343
Nonfamily households,131,178,122,134,104,77,50,56,48,59,46,744,19929,216,28608
Male householder,92,112,68,95,82,56,38,34,32,29,31,517,26023,316,35363
Living alone,28,82,42,46,32,22,14,20,15,16,13,283,22586,382,30934
Female householder,38,66,54,39,22,21,12,22,16,30,15,227,15892,208,23204
Living alone,18,49,29,20,8,10,6,11,6,14,7,99,14331,177,20127
Age of Householder
Under 65 years,949,1050,950,949,795,707,572,608,513,560,419,6448,39148,218,49436
15 to 24 years,29,5,19,13,13,10,1,2,8,1,6,36,20979,462,25000
25 to 34 years,164,179,169,172,157,115,91,85,72,86,70,811,34701,378,41421
35 to 44 years,335,340,321,338,242,218,221,220,171,177,104,1974,43465,406,53230
45 to 54 years,256,322,286,298,274,214,173,197,172,190,169,2394,48058,525,59636
55 to 64 years,164,203,154,128,109,149,87,104,91,105,71,1234,38077,545,50349
65 years and over,81,72,69,48,75,44,66,51,45,38,47,666,19096,203,28579
65 to 74 years,56,44,54,29,45,34,41,42,32,32,31,518,23031,385,33587
75 years and over,25,27,15,19,30,10,24,9,13,6,16,148,15342,238,22352

"TABLE H-1. Selected Characteristics of households, by Total Money Income in 1995 (Numbers in thousands)"
,Mean income Std. error (Dol.)
All households,246
Type of Residence
Inside metro. areas,286
Inside central cities,423
One million or more,552
Under one million,646
Outside central cities,379
One million or more,476
Under one million,604
Outside metro. areas,542
Region
Northeast,574
Midwest,463
South,385
West,632
Race and Hispanic Origin
of Householder
White,271
Black,520
Hispanic,700
Type of Household
Family households,312
Married-couple families,381
"Male householder, nsp",823
"Female householder, nsp",376
Nonfamily households,342
Male householder,660
Living alone,728
Female householder,304
Living alone,287
Age of Householder
Under 65 years,292
15 to 24 years,422
25 to 34 years,482
35 to 44 years,576
45 to 54 years,681
55 to 64 years,748
65 years and over,372
65 to 74 years,598
75 years and over,358

"TABLE H-1. Selected Characteristics of households, by Total Money Income in 1995 (Numbers in thousands)"
,Total,"Under $2,500","$2,500 to $4,999","$5,000 to $7,499","$7,500 to $9,999","$10,0- 00 to $12,4- 99","$12,5- 00 to $14,9- 99","$15,0- 00 to $17,4- 99","$17,5- 00 to $19,9- 99","$20,0- 00 to $22,4- 99","$22,5- 00 to $24,9- 99","$25,0- 00 to $27,4- 99","$27,5- 00 to $29,9- 99","$30,0- 00 to $32,4- 99","$32,5- 00 to $34,9- 99"
Mean age of householder,48.4,45.6,48.2,55.7,57.7,54.4,55.1,52.2,51.8,49.2,48.8,47.7,47.7,45.6,47.1
Size of Household
One person,24900,900,902,2657,2541,2205,1825,1721,1319,1271,923,1125,764,926,654
Two persons,32526,474,397,705,808,1206,1356,1431,1468,1531,1250,1486,1313,1368,1113
Three persons,16724,226,246,413,427,464,479,511,481,618,555,521,583,662,504
Four persons,15118,129,138,241,308,316,284,358,371,401,377,449,401,474,454
Five persons,6631,61,88,139,160,172,158,199,170,182,208,213,198,256,162
Six persons,2357,21,36,37,45,84,67,97,67,74,63,91,81,83,64
Seven persons or more,1372,24,9,38,19,36,64,56,45,64,36,51,74,51,46
Mean size of household,2.65,2.03,2.07,1.80,1.87,2.02,2.12,2.24,2.28,2.40,2.49,2.45,2.64,2.58,2.65
Number of Earners
No earners,21281,1311,1058,2942,2653,2204,1960,1529,1248,1045,762,718,588,471,397
One earner,33538,499,669,1097,1373,1917,1709,2149,1832,2007,1577,1899,1532,1768,1180
Two earners and more,44809,26,89,190,283,362,564,695,841,1089,1074,1319,1294,1581,1419
2 earners,35320,24,80,174,266,343,503,627,760,968,966,1153,1116,1361,1234
3 earners,6982,3,6,11,13,18,54,64,75,104,96,148,149,179,153
4 earners or more,2507,0,2,5,3,1,7,4,5,17,12,18,29,41,32
Mean number of earners,1.41,.31,.48,.36,.47,.60,.71,.85,.94,1.09,1.17,1.23,1.32,1.40,1.46
Work Experience of
Householder
Total,99627,1836,1815,4229,4309,4483,4233,4373,3921,4141,3413,3936,3414,3820,2997
Worked,71070,464,675,1150,1444,1997,1966,2433,2285,2718,2368,2900,2457,3001,2317
Worked at f-t jobs,61729,242,356,620,898,1475,1423,1861,1840,2328,2000,2536,2135,2655,2054
50 weeks or more,51972,94,66,213,416,930,917,1431,1379,1829,1580,2059,1759,2295,1740
27 to 49 weeks,6453,37,64,143,245,303,302,271,288,370,257,331,267,298,238
26 weeks or less,3305,111,227,264,237,242,204,160,174,130,164,147,109,61,76
Worked at p-t jobs,9341,222,318,530,547,522,544,572,444,390,367,364,322,347,263
50 weeks or more,4500,39,92,205,199,263,277,300,200,187,209,166,132,155,134
27 to 49 weeks,2201,22,93,110,117,119,134,112,91,116,62,93,75,129,61
26 weeks or less,2640,161,134,215,231,140,133,160,153,88,97,106,116,62,68
Did not work,28557,1372,1141,3079,2865,2486,2267,1939,1636,1424,1046,1036,957,819,680

"TABLE H-1. Selected Characteristics of households, by Total Money Income in 1995 (Numbers in thousands)"
,"$35,0- 00 to $37,4- 99","$37,5- 00 to $39,9- 99","$40,0- 00 to $42,4- 99","$42,5- 00 to $44,9- 99","$45,0- 00 to $47,4- 99","$47,5- 00 to $49,9- 99","$50,0- 00 to $52,4- 99","$52,5- 00 to $54,9- 99","$55,0- 00 to $57,4- 99","$57,5- 00 to $59,9- 99","$60,0- 00 to $62,4- 99","$62,5- 00 to $64,9- 99","$65,0- 00 to $67,4- 99","$67,5- 00 to $69,9- 99","$70,0- 00 to $72,4- 99"
Mean age of householder,45.5,46.4,45.5,44.9,43.6,45.0,44.0,45.3,44.2,45.6,43.9,46.3,45.8,45.6,44.6
Size of Household
One person,730,464,561,322,381,318,310,167,269,144,188,116,129,83,96
Two persons,1269,1066,1088,905,979,796,845,694,634,599,602,483,503,425,469
Three persons,599,542,589,482,537,398,500,409,429,396,421,332,326,263,342
Four persons,506,475,523,434,569,433,586,379,504,349,416,377,364,323,292
Five persons,224,202,220,250,189,157,202,159,175,139,176,176,171,114,135
Six persons,60,86,81,59,53,46,94,50,76,45,72,51,65,52,46
Seven persons or more,49,39,56,34,60,44,37,31,28,24,26,20,26,32,23
Mean size of household,2.67,2.84,2.83,2.98,2.92,2.89,3.05,3.05,3.08,3.05,3.13,3.23,3.23,3.32,3.17
Number of Earners
No earners,318,308,255,173,108,110,120,108,107,92,54,75,35,52,27
One earner,1419,973,1214,794,907,635,710,425,540,355,494,293,334,189,244
Two earners and more,1701,1594,1649,1519,1754,1447,1744,1356,1469,1250,1353,1187,1215,1052,1131
2 earners,1458,1339,1359,1272,1486,1171,1422,1093,1183,937,1075,870,878,743,819
3 earners,207,206,234,187,216,207,252,194,203,241,207,228,266,208,230
4 earners or more,37,49,57,60,52,68,71,69,83,72,71,88,71,101,82
Mean number of earners,1.54,1.61,1.62,1.74,1.75,1.83,1.84,1.91,1.88,1.96,1.93,2.06,2.08,2.18,2.15
Work Experience of
Householder
Total,3437,2875,3118,2486,2768,2192,2575,1889,2115,1697,1901,1555,1583,1292,1401
Worked,2794,2353,2582,2089,2397,1925,2265,1623,1888,1488,1710,1370,1410,1163,1316
Worked at f-t jobs,2514,2082,2355,1884,2162,1757,2068,1489,1749,1345,1571,1255,1317,1069,1238
50 weeks or more,2170,1804,2086,1648,1900,1544,1845,1322,1577,1200,1394,1122,1197,935,1132
27 to 49 weeks,249,197,205,173,209,129,172,117,126,110,138,107,97,94,75
26 weeks or less,95,82,65,63,52,83,51,50,46,34,38,26,24,40,31
Worked at p-t jobs,281,271,227,205,236,169,197,134,138,144,139,115,93,94,78
50 weeks or more,158,145,117,104,159,68,104,70,76,72,78,71,51,41,38
27 to 49 weeks,69,67,49,59,36,55,48,48,38,22,28,21,7,29,25
26 weeks or less,53,59,61,42,40,46,46,16,25,49,33,23,34,24,16
Did not work,643,522,536,397,371,267,310,266,228,208,191,184,173,130,85

"TABLE H-1. Selected Characteristics of households, by Total Money Income in 1995 (Numbers in thousands)"
,"$72,5- 00","$75,0- 00","$77,5- 00","$80,0- 00","$82,5- 00","$85,0- 00","$87,5- 00","$90,0- 00","$92,5- 00","$95,0- 00","$97,5- 00",,Median income,,Mean income
,"to $74,9- 99","to $77,4- 99","to $79,9- 99","to $82,4- 99","to $84,9- 99","to $87,4- 99","to $89,9- 99","to $92,4- 99","to $94,9- 99","to $97,4- 99","to $99,9- 99",$100K and over,Value (Dol.),Std. error (Dol.),Value (Dol.)
Mean age of householder,45.6,46.2,45.6,44.6,46.0,46.3,47.2,46.6,47.1,46.7,47.6,48.1,(X),(X),(X)
Size of Household
One person,47,131,70,67,39,32,20,31,21,31,20,382,17063,172,24592
Two persons,368,358,353,284,313,253,223,222,196,185,148,2355,35700,266,46162
Three persons,234,236,228,265,201,145,134,139,127,133,121,1500,42244,428,52086
Four persons,246,242,235,247,187,211,167,160,127,143,113,1808,49531,523,59564
Five persons,81,119,91,84,83,90,67,83,66,76,48,690,45710,794,58953
Six persons,35,28,27,37,31,5,22,15,12,20,9,269,44263,1593,56235
Seven persons or more,19,6,15,13,14,13,4,9,8,10,7,110,39013,1631,49709
Mean size of household,3.23,3.06,3.12,3.23,3.21,3.26,3.28,3.26,3.25,3.35,3.29,3.28,(X),(X),(X)
Number of Earners
No earners,47,35,20,14,22,26,20,19,8,12,7,223,13102,139,18452
One earner,146,273,200,193,137,78,77,101,90,93,68,1347,27567,209,36855
Two earners and more,836,813,799,790,711,646,541,539,459,494,391,5543,52813,292,63566
2 earners,583,587,557,547,480,457,388,375,310,355,267,3736,50000,274,60045
3 earners,189,163,163,175,155,147,98,109,100,77,86,1162,63191,685,73656
4 earners or more,64,63,79,68,77,42,55,55,50,62,38,645,74243,1463,85086
Mean number of earners,2.16,2.03,2.15,2.17,2.24,2.21,2.24,2.19,2.25,2.27,2.26,2.20,(X),(X),(X)
Work Experience of
Householder
Total,1030,1121,1019,998,870,751,638,659,558,598,466,7114,34076,197,44938
Worked,935,1021,947,939,815,696,575,611,512,546,430,6493,42141,193,53080
Worked at f-t jobs,870,952,902,906,751,643,522,584,478,506,406,5931,44475,247,55273
50 weeks or more,781,859,805,832,712,588,484,551,419,462,372,5525,47069,224,58457
27 to 49 weeks,69,78,83,62,25,41,32,28,47,36,29,309,33023,620,42966
26 weeks or less,20,14,15,11,14,14,6,5,12,9,6,97,20663,808,29239
Worked at p-t jobs,65,69,45,33,64,54,54,27,35,40,24,562,26476,496,38584
50 weeks or more,51,33,21,18,27,32,29,15,19,15,11,321,29675,907,41889
27 to 49 weeks,2,26,9,9,19,11,15,4,9,14,8,142,28583,1168,40980
26 weeks or less,11,10,16,6,18,11,10,8,7,10,5,99,19905,828,30952
Did not work,95,101,71,59,55,54,62,48,45,53,36,621,16377,163,24674

"TABLE H-1. Selected Characteristics of households, by Total Money Income in 1995 (Numbers in thousands)"
,Mean income Std. error (Dol.)
Mean age of householder,(X)
Size of Household
One person,348
Two persons,388
Three persons,627
Four persons,687
Five persons,1384
Six persons,1749
Seven persons or more,2541
Mean size of household,(X)
Number of Earners
No earners,206
One earner,410
Two earners and more,400
2 earners,429
3 earners,1157
4 earners or more,1829
Mean number of earners,(X)
Work Experience of
Householder
Total,246
Worked,315
Worked at f-t jobs,340
50 weeks or more,383
27 to 49 weeks,834
26 weeks or less,804
Worked at p-t jobs,804
50 weeks or more,1232
27 to 49 weeks,1683
26 weeks or less,1285
Did not work,279

"TABLE H-1. Selected Characteristics of households, by Total Money Income in 1995 (Numbers in thousands)"
,Total,"Under $2,500","$2,500 to $4,999","$5,000 to $7,499","$7,500 to $9,999","$10,0- 00 to $12,4- 99","$12,5- 00 to $14,9- 99","$15,0- 00 to $17,4- 99","$17,5- 00 to $19,9- 99","$20,0- 00 to $22,4- 99","$22,5- 00 to $24,9- 99","$25,0- 00 to $27,4- 99","$27,5- 00 to $29,9- 99","$30,0- 00 to $32,4- 99","$32,5- 00 to $34,9- 99"
Years of School Completed
by Householder
"Total, 25 yrs. & over",94346,1593,1530,3889,4021,4123,3887,3969,3663,3847,3124,3662,3158,3565,2835
Less Than 9th Grade,8062,242,335,1078,914,831,621,563,471,441,296,268,257,258,183
9th to 11th Grade,9683,292,297,909,865,820,731,750,558,531,420,387,355,315,228
High School Graduate
(Includes Equivalency),29507,536,414,1112,1301,1284,1398,1398,1394,1463,1124,1501,1112,1299,1064
"Some College, No Degree",16951,240,260,465,560,649,622,642,630,636,608,689,622,688,592
Associate Degree,6719,60,77,154,144,181,145,212,211,275,216,217,230,298,233
Bachelor's Degree or More,23424,223,147,171,237,357,369,405,398,501,460,600,582,707,535
Bachelor's Degree,14871,162,108,127,170,279,270,299,289,397,330,436,417,525,381
Master's Degree,5706,46,26,33,47,49,66,70,88,82,82,108,118,134,98
Professional Degree,1641,7,6,6,13,16,20,32,12,15,27,47,23,31,36
Doctorate Degree,1206,8,7,5,7,13,13,3,8,7,21,8,24,17,20
TENURE
Owner occupied,65143,741,623,1633,1947,2134,2217,2220,2159,2354,2018,2387,2058,2265,2010
Renter occupied,32768,1003,1128,2449,2236,2223,1916,2030,1678,1687,1319,1474,1294,1477,942
Occupier paid no cash
rent,1716,92,64,147,126,125,100,122,84,100,77,75,61,78,44

"TABLE H-1. Selected Characteristics of households, by Total Money Income in 1995 (Numbers in thousands)"
,"$35,0- 00 to $37,4- 99","$37,5- 00 to $39,9- 99","$40,0- 00 to $42,4- 99","$42,5- 00 to $44,9- 99","$45,0- 00 to $47,4- 99","$47,5- 00 to $49,9- 99","$50,0- 00 to $52,4- 99","$52,5- 00 to $54,9- 99","$55,0- 00 to $57,4- 99","$57,5- 00 to $59,9- 99","$60,0- 00 to $62,4- 99","$62,5- 00 to $64,9- 99","$65,0- 00 to $67,4- 99","$67,5- 00 to $69,9- 99","$70,0- 00 to $72,4- 99"
Years of School Completed
by Householder
"Total, 25 yrs. & over",3266,2763,2981,2378,2664,2126,2466,1851,2069,1646,1845,1530,1563,1279,1373
Less Than 9th Grade,198,126,87,118,103,56,80,74,52,37,40,49,43,36,20
9th to 11th Grade,275,252,210,170,152,116,153,118,119,83,60,50,35,43,39
High School Graduate
(Includes Equivalency),1159,966,1141,861,808,637,791,574,642,533,536,450,490,333,381
"Some College, No Degree",666,580,554,496,587,456,535,355,410,315,400,311,306,263,297
Associate Degree,310,196,236,172,264,198,224,183,199,158,178,181,167,124,138
Bachelor's Degree or More,659,643,753,562,751,662,683,546,647,520,632,488,522,480,498
Bachelor's Degree,446,434,504,373,521,452,465,353,435,354,411,302,338,318,322
Master's Degree,151,163,163,147,180,143,154,151,153,110,162,130,148,109,130
Professional Degree,30,23,61,26,23,27,34,32,31,36,19,33,22,22,18
Doctorate Degree,32,23,25,16,26,39,30,9,28,20,40,22,15,31,29
TENURE
Owner occupied,2292,1921,2170,1789,2026,1639,1915,1470,1664,1377,1502,1318,1323,1040,1177
Renter occupied,1091,911,888,674,723,534,628,403,432,305,391,229,258,246,217
Occupier paid no cash
rent,54,43,60,24,19,19,32,16,20,15,8,7,2,7,7

"TABLE H-1. Selected Characteristics of households, by Total Money Income in 1995 (Numbers in thousands)"
,"$72,5- 00","$75,0- 00","$77,5- 00","$80,0- 00","$82,5- 00","$85,0- 00","$87,5- 00","$90,0- 00","$92,5- 00","$95,0- 00","$97,5- 00",,Median income,,Mean income
,"to $74,9- 99","to $77,4- 99","to $79,9- 99","to $82,4- 99","to $84,9- 99","to $87,4- 99","to $89,9- 99","to $92,4- 99","to $94,9- 99","to $97,4- 99","to $99,9- 99",$100K and over,Value (Dol.),Std. error (Dol.),Value (Dol.)
Years of School Completed
by Householder
"Total, 25 yrs. & over",1001,1116,1000,985,857,741,637,657,550,597,460,7078,35235,176,46054
Less Than 9th Grade,18,15,10,19,2,16,8,9,5,9,5,68,15043,286,21188
9th to 11th Grade,31,34,44,17,36,10,21,21,13,11,14,99,18298,330,25117
High School Graduate
(Includes Equivalency),245,246,263,226,175,153,139,114,99,131,73,940,31376,248,38344
"Some College, No Degree",182,196,199,194,138,139,89,122,88,110,77,983,37156,368,44958
Associate Degree,95,109,84,78,81,53,54,51,47,26,42,416,42118,701,48470
Bachelor's Degree or More,430,517,399,451,425,370,326,340,297,310,249,4572,58052,551,73079
Bachelor's Degree,258,312,230,267,265,235,197,185,187,176,131,2209,52857,612,64959
Master's Degree,139,151,136,125,100,95,80,106,72,80,74,1306,64960,1023,77907
Professional Degree,17,28,21,33,36,23,28,21,18,22,23,643,82010,2289,113088
Doctorate Degree,16,26,12,26,24,18,21,28,19,31,21,414,80005,3164,95913
TENURE
Owner occupied,841,930,871,844,736,661,576,561,486,523,406,6317,41832,220,52874
Renter occupied,176,180,145,151,128,89,60,95,70,75,58,754,22563,236,30146
Occupier paid no cash
rent,13,11,2,3,5,0,1,4,2,0,2,44,19910,859,26110

"TABLE H-1. Selected Characteristics of households, by Total Money Income in 1995 (Numbers in thousands)"
,Mean income Std. error (Dol.)
Years of School Completed
by Householder
"Total, 25 yrs. & over",258
Less Than 9th Grade,431
9th to 11th Grade,437
High School Graduate
(Includes Equivalency),360
"Some College, No Degree",501
Associate Degree,728
Bachelor's Degree or More,727
Bachelor's Degree,785
Master's Degree,1434
Professional Degree,4670
Doctorate Degree,3514
TENURE
Owner occupied,334
Renter occupied,302
Occupier paid no cash
rent,902
,
Source: U.S. Census Bureau
Contact: Housing and Household Economic Statistics Information Staff at (301)763-3242
"Last revised: July 29, 2004"
URL: http://www.census.gov/hhes/www/cpstables/macro/031996/hhinc/1_000.htm
